,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,casablanca,33.5928,-7.6192,60.33,82,4,8.99,MA,1644699414
301,panzhihua,26.5851,101.7128,43.54,75,0,4.88,CN,1644699401
302,esna,25.2934,32.554,57.43,46,0,3.74,EG,1644699690
303,bethel,41.3712,-73.414,55.09,48,99,1.99,US,1644699690
304,aripuana,-9.1667,-60.6333,80.02,81,70,0.85,BR,1644699691
305,buala,-8.145,159.5921,79.56,81,100,2.51,SB,1644699691
306,oranjemund,-28.55,16.4333,68.59,77,2,7.14,NA,1644699691
307,mount isa,-20.7333,139.5,73.17,100,75,2.3,AU,1644699641
308,kaberamaido,1.7389,33.1594,72.72,63,97,3.24,UG,1644699692
309,praia da vitoria,38.7333,-27.0667,61.75,85,100,10.45,PT,1644699692
310,sola,-13.8833,167.55,77.86,86,99,16.17,VU,1644699692
311,lompoc,34.6391,-120.4579,87.78,30,0,10.36,US,1644699692
312,shunyi,40.125,116.6453,24.75,80,99,2.24,CN,1644699693
313,paamiut,61.994,-49.6678,19.35,95,100,8.01,GL,1644699693
314,mbengwi,6.0167,10.0,69.04,20,44,0.74,CM,1644699693
315,clyde river,70.4692,-68.5914,-16.37,76,100,31.07,CA,1644699694
316,elk city,35.412,-99.4043,43.02,26,0,8.05,US,1644699694
317,kamaishi,39.2667,141.8833,32.22,66,72,5.19,JP,1644699694
318,olafsvik,64.8945,-23.7142,26.67,71,36,18.28,IS,1644699694
319,tazmalt,36.3868,4.3989,47.88,90,84,3.76,DZ,1644699755
320,kajaani,64.2273,27.7285,21.25,93,75,4.61,FI,1644699755
321,ilulissat,69.2167,-51.1,19.42,86,100,19.57,GL,1644699755
322,sao filipe,14.8961,-24.4956,77.81,46,76,19.75,CV,1644699756
323,tsabong,-26.0217,22.401,79.25,19,1,11.05,BW,1644699756
324,taoudenni,22.6783,-3.9836,65.93,19,0,10.42,ML,1644699756
325,rorvik,64.8621,11.2373,33.93,77,100,15.01,NO,1644699757
326,nalut,30.3333,10.85,54.52,33,99,10.49,LY,1644699757
327,bantry,51.6833,-9.45,45.88,91,100,8.59,IE,1644699757
328,constantine,36.365,6.6147,45.81,87,40,5.75,DZ,1644699757
329,grabouw,-34.1515,19.0151,66.45,74,100,4.88,ZA,1644699758
330,ekhabi,53.5102,142.9671,5.38,95,91,7.63,RU,1644699758
331,newport,51.5877,-2.9984,49.44,89,100,3.0,GB,1644699758
332,kavieng,-2.5744,150.7967,80.64,78,100,4.0,PG,1644699758
333,kirillov,59.863,38.3813,23.58,95,100,10.42,RU,1644699759
334,balabac,7.9868,117.0645,79.18,85,100,9.8,PH,1644699759
335,tilichiki,60.4667,166.1,-21.53,92,12,8.86,RU,1644699759
336,dhidhdhoo,6.8833,73.1,81.03,75,100,6.33,MV,1644699760
337,pemangkat,1.1667,108.9667,75.96,89,100,3.36,ID,1644699760
338,kailua,21.4022,-157.7394,80.15,71,28,4.0,US,1644699485
339,abu dhabi,24.4667,54.3667,69.96,77,49,16.28,AE,1644699609
340,port hardy,50.6996,-127.4199,45.75,93,40,2.3,CA,1644699545
341,sterling,39.0062,-77.4286,59.34,44,0,12.66,US,1644699464
342,isabela,6.7085,121.9711,77.86,82,100,2.59,PH,1644699761
343,san pedro,14.35,121.0167,78.35,84,99,7.78,PH,1644699761
344,great bend,38.3645,-98.7648,45.97,29,0,16.11,US,1644699761
345,yeppoon,-23.1333,150.7333,71.38,72,64,16.4,AU,1644699762
346,bilma,18.6853,12.9164,64.78,16,0,7.94,NE,1644699474
347,qaqortoq,60.7167,-46.0333,30.7,98,100,6.58,GL,1644699762
348,camocim,-2.9022,-40.8411,80.8,76,72,13.35,BR,1644699762
349,kerrville,30.0474,-99.1403,53.22,42,0,24.16,US,1644699763
350,nanyamba,-10.6833,39.8333,72.16,96,100,3.4,TZ,1644699763
351,saint-joseph,-21.3667,55.6167,77.36,82,16,9.44,RE,1644699763
352,tabas,33.5959,56.9244,53.92,47,100,8.84,IR,1644699763
353,linqiong,30.4159,103.4609,41.56,84,100,0.45,CN,1644699764
354,shakhtinsk,49.71,72.5872,19.96,94,100,14.45,KZ,1644699764
355,kainantu,-6.2887,145.8655,58.1,93,55,2.86,PG,1644699764
356,chapais,49.7834,-74.8492,-9.62,86,100,9.84,CA,1644699765
357,samandag,36.0842,35.9771,54.12,80,9,4.52,TR,1644699765
358,raga,8.4596,25.678,73.6,18,7,4.56,SS,1644699765
359,vila do maio,15.1333,-23.2167,74.19,71,91,19.84,CV,1644699766
360,andros,37.8333,24.9333,55.96,70,100,3.67,GR,1644699766
361,kagadi,0.9606,30.7967,66.63,67,100,4.52,UG,1644699767
362,uyemskiy,64.4743,40.8524,14.05,92,75,2.24,RU,1644699767
363,chuy,-33.6971,-53.4616,67.93,97,100,9.31,UY,1644699767
364,laxou,48.6832,6.148,33.15,75,0,9.22,FR,1644699768
365,labuhan,-6.8844,112.2051,78.12,81,100,4.52,ID,1644699768
366,maceio,-9.6658,-35.7353,81.84,74,0,13.8,BR,1644699610
367,allapalli,19.4167,80.0667,58.42,31,51,2.98,IN,1644699828
